x [m],y [m],z [m],distance [m],max distance [m]
-1007.553,4248579.162,6.020000,0.000000,940.5400384
-1007.994,4248579.365,6.024727,0.484821,
-1008.434,4248579.567,6.022171,0.969625,
-1008.875,4248579.769,6.018619,1.454436,
-1009.316,4248579.970,6.016404,1.939238,
-1009.758,4248580.170,6.015526,2.424037,
-1010.200,4248580.369,6.015589,2.908835,
-1010.642,4248580.568,6.016868,3.393634,
-1011.084,4248580.766,6.018865,3.878436,
-1011.527,4248580.964,6.020616,4.363237,
-1011.970,4248581.162,6.021109,4.848035,
-1012.413,4248581.358,6.020881,5.332832,
-1012.856,4248581.555,6.020882,5.817630,
-1013.299,4248581.751,6.020924,6.302428,
-1013.743,4248581.947,6.020908,6.787225,
-1014.186,4248582.143,6.020908,7.272023,
-1014.630,4248582.338,6.020908,7.756821,
-1015.074,4248582.534,6.020909,8.241619,
-1015.517,4248582.729,6.020921,8.726416,
-1015.961,4248582.924,6.020885,9.211214,
-1016.405,4248583.119,6.020892,9.696012,
-1016.849,4248583.314,6.021070,10.180810,
-1017.292,4248583.510,6.020631,10.665607,
-1017.736,4248583.705,6.018883,11.150408,
-1018.180,4248583.901,6.015887,11.635215,
-1018.623,4248584.097,6.012317,12.120026,
-1019.066,4248584.293,6.008938,12.604836,
-1019.509,4248584.490,6.006241,13.089641,
-1019.952,4248584.686,6.005469,13.574439,
-1020.395,4248584.884,6.007161,14.059240,
-1020.838,4248585.082,6.008874,14.544040,
-1021.280,4248585.280,6.010679,15.028842,
-1021.722,4248585.479,6.014040,15.513651,
-1022.164,4248585.678,6.016999,15.998458,
-1022.606,4248585.878,6.018297,16.483257,
-1023.047,4248586.079,6.018355,16.968055,
-1023.488,4248586.281,6.018442,17.452852,
-1023.929,4248586.483,6.018460,17.937650,
-1024.369,4248586.686,6.016817,18.422450,
-1024.809,4248586.890,6.015622,18.907249,
-1025.248,4248587.095,6.015848,19.392047,
-1025.687,4248587.301,6.014556,19.876846,
-1026.125,4248587.508,6.012971,20.361647,
-1026.563,4248587.716,6.013024,20.846444,
-1027.000,4248587.925,6.013233,21.331242,
-1027.438,4248588.135,6.013146,21.816040,
-1027.875,4248588.344,6.013142,22.300837,
-1028.312,4248588.553,6.013160,22.785635,
-1028.751,4248588.760,6.013154,23.270433,
-1029.189,4248588.966,6.013152,23.755230,
-1029.629,4248589.170,6.013157,24.240027,
-1030.070,4248589.371,6.013155,24.724824,
-1030.513,4248589.569,6.013138,25.209620,
-1030.957,4248589.763,6.013183,25.694416,
-1031.404,4248589.952,6.013187,26.179212,
-1031.852,4248590.137,6.012938,26.664007,
-1032.303,4248590.315,6.013455,27.148801,
-1032.756,4248590.488,6.015222,27.633598,
-1033.211,4248590.654,6.016958,28.118394,
-1033.669,4248590.813,6.018663,28.603191,
-1034.129,4248590.966,6.020481,29.087988,
-1034.591,4248591.113,6.021132,29.572783,
-1035.055,4248591.254,6.020892,30.057577,
-1035.521,4248591.388,6.020874,30.542371,
-1035.988,4248591.517,6.020923,31.027166,
-1036.457,4248591.639,6.020909,31.511961,
-1036.928,4248591.756,6.020921,31.996755,
-1037.400,4248591.867,6.020879,32.481549,
-1037.873,4248591.971,6.020890,32.966343,
-1038.348,4248592.068,6.021110,33.451136,
-1038.825,4248592.158,6.020550,33.935929,
-1039.302,4248592.240,6.018757,34.420725,
-1039.782,4248592.314,6.016712,34.905521,
-1040.262,4248592.380,6.015621,35.390314,
-1040.743,4248592.438,6.015725,35.875105,
-1041.225,4248592.487,6.015533,36.359897,
-1041.708,4248592.529,6.015932,36.844690,
-1042.192,4248592.562,6.017809,37.329485,
-1042.676,4248592.587,6.018403,37.814278,
-1043.161,4248592.605,6.018369,38.299071,
-1043.645,4248592.615,6.020058,38.783867,
-1044.130,4248592.617,6.021352,39.268661,
-1044.615,4248592.612,6.020953,39.753454,
-1045.100,4248592.600,6.019392,40.238250,
-1045.584,4248592.581,6.017634,40.723047,
-1046.068,4248592.555,6.015986,41.207844,
-1046.552,4248592.523,6.014066,41.692642,
-1047.035,4248592.484,6.013003,42.177437,
-1047.518,4248592.439,6.013142,42.662233,
-1048.000,4248592.390,6.012945,43.147030,
-1048.482,4248592.341,6.013438,43.631828,
-1048.965,4248592.293,6.015299,44.116629,
-1049.448,4248592.250,6.015941,44.601424,
-1049.931,4248592.212,6.015757,45.086217,
-1050.415,4248592.185,6.016015,45.571005,
-1050.899,4248592.168,6.014680,46.055794,
-1051.384,4248592.162,6.013150,46.540583,
-1051.869,4248592.167,6.014568,47.025372,
-1052.354,4248592.184,6.016602,47.510164,
-1052.838,4248592.211,6.018197,47.994954,
-1053.321,4248592.250,6.020300,48.479746,
-1053.803,4248592.299,6.020661,48.964534,
-1054.284,4248592.359,6.018671,49.449325,
-1054.764,4248592.430,6.016875,49.934116,
-1055.242,4248592.511,6.015199,50.418908,
-1055.718,4248592.602,6.013437,50.903700,
-1056.192,4248592.703,6.012937,51.388491,
-1056.664,4248592.812,6.013190,51.873282,
-1057.135,4248592.930,6.013182,52.358074,
-1057.603,4248593.055,6.013138,52.842867,
-1058.069,4248593.188,6.013156,53.327660,
-1058.534,4248593.327,6.013157,53.812454,
-1058.996,4248593.472,6.013153,54.297247,
-1059.456,4248593.625,6.013154,54.782039,
-1059.914,4248593.786,6.013155,55.266830,
-1060.368,4248593.955,6.013152,55.751620,
-1060.818,4248594.134,6.013153,56.236408,
-1061.264,4248594.324,6.013170,56.721194,
-1061.706,4248594.524,6.013127,57.205978,
-1062.142,4248594.737,6.013120,57.690760,
-1062.571,4248594.961,6.013364,58.175542,
-1062.995,4248595.197,6.012874,58.660326,
-1063.412,4248595.444,6.011122,59.145113,
-1063.822,4248595.702,6.009313,59.629900,
-1064.226,4248595.970,6.007715,60.114688,
-1064.623,4248596.249,6.006056,60.599476,
-1065.013,4248596.537,6.004310,61.084260,
-1065.392,4248596.838,6.002746,61.569033,
-1065.760,4248597.155,6.001953,62.053792,
-1066.111,4248597.488,6.001546,62.538534,
-1066.443,4248597.842,6.002739,63.023258,
-1066.752,4248598.216,6.004561,63.507962,
-1067.034,4248598.610,6.005744,63.992677,
-1067.292,4248599.020,6.005519,64.477413,
-1067.529,4248599.443,6.004045,64.962170,
-1067.748,4248599.875,6.002248,65.446942,
-1067.953,4248600.315,6.000615,65.931724,
-1068.145,4248600.760,5.998722,66.416514,
-1068.325,4248601.210,5.997493,66.901292,
-1068.488,4248601.666,5.997557,67.386049,
-1068.628,4248602.131,5.997702,67.870782,
-1068.738,4248602.603,5.997637,68.355485,
-1068.813,4248603.081,5.997635,68.840159,
-1068.849,4248603.565,5.997648,69.324820,
-1068.845,4248604.049,5.997644,69.809464,
-1068.796,4248604.532,5.997643,70.294082,
-1068.700,4248605.007,5.997644,70.778663,
-1068.557,4248605.469,5.997644,71.263274,
-1068.374,4248605.918,5.997644,71.747962,
-1068.164,4248606.355,5.997644,72.232707,
-1067.936,4248606.783,5.997644,72.717487,
-1067.700,4248607.207,5.997645,73.202283,
-1067.461,4248607.628,5.997642,73.687078,
-1067.216,4248608.047,5.997641,74.171870,
-1066.962,4248608.460,5.997659,74.656656,
-1066.698,4248608.866,5.997629,75.141435,
